snapshot_utc,tag,published,asset,downloads
2026-08-25T18:39:45Z,v1.0.8,2026-08-25,SHA256SUMS.txt,0
2026-08-25T18:39:45Z,v1.0.8,2026-08-25,Tidy-1.0.8-macos.zip,1
2026-08-25T18:39:45Z,v1.0.8,2026-08-25,Tidy-1.0.8.dmg,0
2026-08-25T18:39:45Z,v1.0.5,2026-08-25,SHA256SUMS.txt,0
2026-08-25T18:39:45Z,v1.0.5,2026-08-25,Tidy-1.0.5-macos.zip,1
2026-08-25T18:39:45Z,v1.0.5,2026-08-25,Tidy-1.0.5.dmg,0
2026-08-25T18:39:45Z,v1.0.3,2026-08-25,SHA256SUMS.txt,0
2026-08-25T18:39:45Z,v1.0.3,2026-08-25,Tidy-1.0.3-macos.zip,1
2026-08-25T18:39:45Z,v1.0.3,2026-08-25,Tidy-1.0.3.dmg,0
2026-08-25T18:39:45Z,v1.0.1,2026-08-25,SHA256SUMS.txt,0
2026-08-25T18:39:45Z,v1.0.1,2026-08-25,Tidy-1.0.1-macos.zip,1
2026-08-25T18:39:45Z,v1.0.1,2026-08-25,Tidy-1.0.1.dmg,1
2026-08-31T13:23:21Z,v1.0.19,2026-08-31,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.19,2026-08-31,Tidy-1.0.19-macos.zip,1
2026-08-31T13:23:21Z,v1.0.19,2026-08-31,Tidy-1.0.19.dmg,0
2026-08-31T13:23:21Z,v1.0.18,2026-08-31,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.18,2026-08-31,Tidy-1.0.18-macos.zip,1
2026-08-31T13:23:21Z,v1.0.18,2026-08-31,Tidy-1.0.18.dmg,1
2026-08-31T13:23:21Z,v1.0.17,2026-08-31,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.17,2026-08-31,Tidy-1.0.17-macos.zip,0
2026-08-31T13:23:21Z,v1.0.17,2026-08-31,Tidy-1.0.17.dmg,0
2026-08-31T13:23:21Z,v1.0.16,2026-08-31,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.16,2026-08-31,Tidy-1.0.16-macos.zip,1
2026-08-31T13:23:21Z,v1.0.16,2026-08-31,Tidy-1.0.16.dmg,0
2026-08-31T13:23:21Z,v1.0.15,2026-08-30,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.15,2026-08-30,Tidy-1.0.15-macos.zip,2
2026-08-31T13:23:21Z,v1.0.15,2026-08-30,Tidy-1.0.15.dmg,0
2026-08-31T13:23:21Z,v1.0.14,2026-08-30,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.14,2026-08-30,Tidy-1.0.14-macos.zip,1
2026-08-31T13:23:21Z,v1.0.14,2026-08-30,Tidy-1.0.14.dmg,0
2026-08-31T13:23:21Z,v1.0.13,2026-08-30,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.13,2026-08-30,Tidy-1.0.13-macos.zip,0
2026-08-31T13:23:21Z,v1.0.13,2026-08-30,Tidy-1.0.13.dmg,0
2026-08-31T13:23:21Z,v1.0.12,2026-08-30,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.12,2026-08-30,Tidy-1.0.12-macos.zip,1
2026-08-31T13:23:21Z,v1.0.12,2026-08-30,Tidy-1.0.12.dmg,0
2026-08-31T13:23:21Z,v1.0.11,2026-08-30,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.11,2026-08-30,Tidy-1.0.11-macos.zip,1
2026-08-31T13:23:21Z,v1.0.11,2026-08-30,Tidy-1.0.11.dmg,0
2026-08-31T13:23:21Z,v1.0.10,2026-08-26,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.10,2026-08-26,Tidy-1.0.10-macos.zip,3
2026-08-31T13:23:21Z,v1.0.10,2026-08-26,Tidy-1.0.10.dmg,6
2026-08-31T13:23:21Z,v1.0.8,2026-08-25,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.8,2026-08-25,Tidy-1.0.8-macos.zip,2
2026-08-31T13:23:21Z,v1.0.8,2026-08-25,Tidy-1.0.8.dmg,16
2026-08-31T13:23:21Z,v1.0.5,2026-08-25,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.5,2026-08-25,Tidy-1.0.5-macos.zip,1
2026-08-31T13:23:21Z,v1.0.5,2026-08-25,Tidy-1.0.5.dmg,0
2026-08-31T13:23:21Z,v1.0.3,2026-08-25,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.3,2026-08-25,Tidy-1.0.3-macos.zip,1
2026-08-31T13:23:21Z,v1.0.3,2026-08-25,Tidy-1.0.3.dmg,0
2026-08-31T13:23:21Z,v1.0.1,2026-08-25,SHA256SUMS.txt,0
2026-08-31T13:23:21Z,v1.0.1,2026-08-25,Tidy-1.0.1-macos.zip,1
2026-08-31T13:23:21Z,v1.0.1,2026-08-25,Tidy-1.0.1.dmg,1
